epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4692.52,1.30388,0.62088,0.94742,0.83428,0.54361,0.61938,0.29162,1.73256,0.82092,1.66735,0.000665839,0.000665839,0.000665839
2,7601.02,1.34848,0.65859,0.96413,0.79307,0.55604,0.60328,0.28867,1.69341,0.7649,1.65161,0.000672915,0.000672915,0.000672915
